Region,Area (Square Miles)
East,7440.89266501629
East Midlands,6046.37376273603
London,608.637100055797
North East,3332.04292883428
North West,5514.42920843381
Northern Ireland,5256.96085546232
Scotland,30399.6861367284
South East,7410.2970126728
South West,9292.1792468131
Wales,8138.10106826691
West Midlands,5024.21913029038
Yorkshire and the Humber,5984.45858668858
